Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.34204265,.053079005,1.1634289e-10,.23800971,.44607559
0,2,.29058075,.05742019,4.1793376e-07,.17803925,.40312225
0,3,.35051605,.064232178,4.8420169e-08,.22462331,.47640881
0,4,.27841714,.067114614,.000033483131,.14687492,.40995938
0,5,.25124243,.070407301,.00035914811,.11324666,.38923821
1,1,.3098084,.10955875,.0046871533,.095077194,.52453959
1,2,.27944222,.068209566,.00004188672,.14575392,.41313052
1,3,.19714265,.067377627,.0034342122,.065084927,.32920036
1,4,.25385693,.064494923,.000082824707,.12744921,.38026467
1,5,.28069252,.069352955,.000051810832,.14476323,.4166218
