Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.10127456,.040117934,.011588898,.022644857,.17990427
0,2,.07644292,.041697681,.066763081,-.0052830293,.15816887
0,3,.082836039,.046001859,.071748488,-.0073259454,.17299803
0,4,.12824139,.04634181,.0056523811,.03741312,.21906967
0,5,.073720112,.044868123,.10037471,-.014219794,.16166002
1,1,.17174692,.088433474,.052124623,-.0015795032,.34507334
1,2,.10577507,.050413646,.03589246,.0069661397,.20458399
1,3,.091992326,.048144273,.056034964,-.0023687156,.18635337
1,4,.0004810869,.044781629,.99142855,-.087289296,.088251472
1,5,.04136854,.047087047,.37964281,-.050920375,.13365746
