Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.07749705,.027513755,.0048524989,.023571083,.13142303
0,2,.18791912,.050290186,.0001864544,.089352168,.28648609
0,3,.22130837,.05578329,.000072695257,.11197512,.3306416
0,4,.27645504,.067455523,.000041614017,.14424464,.40866542
0,5,.32814759,.078056738,.000026228252,.1751592,.48113599
1,1,.086363696,.029657403,.0035907079,.028236253,.14449114
1,2,.22590758,.055313695,.000044244858,.11749472,.33432043
1,3,.21555245,.055497922,.00010276314,.10677852,.32432637
1,4,.25506377,.062730901,.000047827209,.13211346,.37801409
1,5,.27022681,.066175804,.000044368437,.14052461,.39992899
