Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.73580253,.0366841,0,.663903,.807702
0,2,.77730662,.041452505,0,.69606119,.85855198
0,3,.81260067,.043720663,0,.72690976,.89829159
0,4,.76471627,.042826932,0,.68077701,.84865552
0,5,.78840482,.04588097,0,.69847977,.87832987
1,1,.84485406,.079664424,2.8197633e-26,.68871468,1.0009935
1,2,.79446638,.046628151,0,.70307684,.88585585
1,3,.70932621,.053136371,0,.60518086,.81347162
1,4,.74869919,.048120413,0,.65438491,.84301347
1,5,.82067192,.050365899,0,.72195655,.91938728
