Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.80175203,.032537792,0,.73797911,.86552495
0,2,.79746825,.038956244,0,.72111541,.87382108
0,3,.78341746,.03741907,0,.7100774,.85675746
0,4,.79520863,.039964259,0,.71688008,.87353712
0,5,.79833448,.040219314,0,.71950603,.87716287
1,1,.79108143,.077995732,3.5736724e-24,.63821256,.94395024
1,2,.82599425,.047312833,0,.73326284,.91872573
1,3,.79226601,.04812317,0,.69794637,.88658571
1,4,.80399388,.043972541,0,.71780932,.8901785
1,5,.85975069,.047446877,0,.76675647,.95274484
