Expungement,Sequence,b,se,pvalue,ll,ul
0,1,2.8187354,.1262894,0,2.5712125,3.066258
0,2,2.9061747,.12966047,0,2.6520448,3.1603045
0,3,2.8452828,.13330886,0,2.5840023,3.1065633
0,4,3.0023282,.13920617,0,2.7294888,3.2751672
0,5,2.9581735,.15164079,0,2.6609631,3.255384
1,1,3.0210984,.24338678,2.2287336e-35,2.5440691,3.4981277
1,2,3.0719643,.15931673,0,2.7597091,3.3842194
1,3,2.8109212,.14756383,0,2.5217013,3.1001408
1,4,2.9993708,.15246376,0,2.7005475,3.2981944
1,5,3.1308875,.16286254,0,2.8116827,3.4500921
