Expungement,Sequence,b,se,pvalue,ll,ul
0,1,7.501677,.33848119,0,6.8382659,8.1650877
0,2,7.3087559,.33755493,0,6.6471601,7.9703512
0,3,7.5860882,.35484082,0,6.8906126,8.2815628
0,4,7.8442249,.3554135,0,7.1476274,8.540822
0,5,7.8807096,.39329198,0,7.1098719,8.6515484
1,1,7.5435147,.6128298,8.0705855e-35,6.3423905,8.7446394
1,2,7.6644187,.38045779,0,6.9187355,8.4101028
1,3,7.3361573,.40615621,0,6.5401058,8.1322088
1,4,8.002388,.38972136,0,7.2385483,8.7662277
1,5,7.94839,.38423982,0,7.1952934,8.7014866
