Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.022578148,.012063734,.061265826,-.0010663362,.046222635
0,2,.052849572,.023804324,.026407441,.006193954,.099505194
0,3,.072145604,.030949645,.019749982,.011485415,.13280579
0,4,.089278199,.038521159,.02046887,.013778112,.16477828
0,5,.075925492,.034877382,.029486062,.0075670797,.14428391
1,1,.028456317,.012302822,.020723123,.0043432307,.052569404
1,2,.0651972,.023342963,.0052219611,.019445831,.11094857
1,3,.082945682,.030449782,.0064493464,.023265203,.14262615
1,4,.10503879,.035744172,.0032966966,.034981497,.17509608
1,5,.097275227,.037111361,.0087628243,.024538299,.17001216
