Expungement,Sequence,b,se,pvalue,ll,ul
0,1,2.8205953,.12590991,0,2.5738163,3.0673742
0,2,2.9087543,.12954712,0,2.6548467,3.162662
0,3,2.8388336,.13286997,0,2.578413,3.0992539
0,4,3.0102162,.13854063,0,2.7386816,3.2817507
0,5,2.9662297,.15241297,0,2.6675057,3.2649536
1,1,3.0159988,.24388178,3.9602913e-35,2.5379994,3.4939985
1,2,3.0792444,.15880552,0,2.7679913,3.3904974
1,3,2.8348315,.14805406,0,2.5446508,3.1250122
1,4,3.0066509,.15196195,0,2.708811,3.3044908
1,5,3.1384976,.16142143,0,2.8221173,3.4548779
