Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.60324913,.053156171,7.5343372e-30,.49906495,.70743328
0,2,.41145611,.058221616,1.5824146e-12,.29734385,.52556837
0,3,.32521954,.061923772,1.5051069e-07,.20385118,.44658792
0,4,.41099924,.063476212,9.4903488e-11,.28658813,.53541034
0,5,.37048766,.070244424,1.3328965e-07,.23281112,.50816423
1,1,.41333491,.10256211,.000055754688,.21231686,.61435294
1,2,.42804977,.070518129,1.2785661e-09,.28983679,.56626278
1,3,.26549867,.066300422,.000062154322,.13555221,.39544511
1,4,.15570638,.066977069,.020084184,.024433736,.28697902
1,5,.25058299,.067045443,.00018585185,.11917634,.38198966
