Expungement,Sequence,b,se,pvalue,ll,ul
0,1,7.5578771,.33755231,0,6.896287,8.2194672
0,2,7.3567247,.33909631,0,6.6921082,8.0213413
0,3,7.6420112,.35258862,0,6.9509501,8.3330717
0,4,7.8953996,.35212147,0,7.2052541,8.5855446
0,5,7.9434261,.38931578,0,7.1803813,8.7064714
1,1,7.5717378,.61020619,2.3504331e-35,6.3757553,8.7677202
1,2,7.7118444,.37735176,0,6.9722486,8.4514408
1,3,7.3836837,.40019843,0,6.599309,8.1680584
1,4,8.0532141,.38886386,0,7.2910547,8.8153734
1,5,8.0042906,.38091937,0,7.2577024,8.7508783
