Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.59620911,.0532334,4.0816134e-29,.49187356,.70054466
0,2,.40403897,.057264958,1.7185078e-12,.29180169,.51627618
0,3,.31972098,.061721221,2.2178853e-07,.1987496,.44069234
0,4,.40156421,.062781185,1.5923786e-10,.27851537,.52461308
0,5,.35931736,.068882592,1.8245984e-07,.22430995,.49432477
1,1,.40693805,.10192733,.000065398781,.20716415,.60671192
1,2,.42329362,.071166091,2.7149152e-09,.28381065,.56277663
1,3,.25672674,.065891489,.000097711731,.12758179,.38587168
1,4,.15204358,.065721773,.020698279,.023231287,.28085589
1,5,.23885041,.066226117,.00031024817,.1090496,.36865121
