Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.023740044,.012404599,.055644464,-.00057252427,.048052613
0,2,.067969665,.027545774,.013605379,.013980939,.12195839
0,3,.073959738,.030966667,.016923478,.013266183,.13465329
0,4,.084494703,.037250612,.023312332,.011484846,.15750456
0,5,.077848971,.035063323,.026402516,.009126123,.14657182
1,1,.031493172,.013605564,.02062786,.0048267553,.058159586
1,2,.069528222,.02414849,.0039869123,.022198051,.11685839
1,3,.079571217,.029703371,.007387294,.021353679,.13778876
1,4,.10603434,.037450533,.0046356753,.032632634,.17943603
1,5,.0993599,.037816633,.0086036874,.025240669,.17347914
