Expungement,Sequence,b,se,pvalue,ll,ul
0,1,3.1786752,.12815124,0,2.9275033,3.429847
0,2,3.0448472,.12866472,0,2.7926691,3.2970254
0,3,3.1888373,.13474417,0,2.9247437,3.4529309
0,4,3.1038148,.13942215,0,2.8305526,3.3770773
0,5,3.046144,.14926243,0,2.7535951,3.3386929
1,1,3.083395,.21420966,0,2.6635518,3.5032382
1,2,3.0764711,.15837173,0,2.766068,3.386874
1,3,3.1445451,.1532616,0,2.8441577,3.4449322
1,4,3.0986617,.15892655,0,2.7871714,3.410152
1,5,3.1795354,.15986228,0,2.8662109,3.4928596
