Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.061602119,.026740458,.021239225,.009191785,.11401245
0,2,.11422308,.041348562,.0057370439,.033181384,.19526477
0,3,.13910511,.049631458,.0050667198,.041829247,.23638099
0,4,.14261577,.051814139,.0059151389,.041061919,.24416961
0,5,.15588735,.05774951,.006947068,.042700395,.26907432
1,1,.05033626,.022194138,.023329325,.0068365503,.093835972
1,2,.10112175,.033760451,.0027419948,.034952492,.16729102
1,3,.12302587,.041163918,.0028018318,.042346079,.20370567
1,4,.15007554,.046818703,.0013484623,.058312561,.2418385
1,5,.12535557,.04217248,.002954338,.042699024,.2080121
