effect,b,se,pvalue,ll,ul
Expunge1,-.4181469003115941,.2551863373530259,.10129776186904,-.9183029308702131,.0820091302470249
Sequence3,-.3306138509784,.1266484172293146,.0090413816898082,-.5788401874468585,-.0823875145099414
Sequence4,-.5082699479819346,.1562141414062777,.0011392278527961,-.8144440390140861,-.2020958569497831
Sequence5,-.4229767755299088,.1590259478378001,.0078187707413452,-.7346619058993421,-.1112916451604754
Sequence6,-.6184314212956054,.1816308833486484,.000661930551382,-.974421411139152,-.2624414314520587
ES3,.1938186799758562,.2550165785232182,.447240333120275,-.3060046293902821,.6936419893419945
ES4,.3561449479468864,.2471319714535131,.1495529315665083,-.1282248155303799,.8405147114241527
ES5,-.0380337381834097,.2842268302063358,.8935490745362914,-.595108088827809,.5190406124609895
ES6,-.2314616350019398,.2876091192048856,.4209475117141531,-.7951651502688027,.3322418802649231
