Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.017741205,.010195722,.081847824,-.0022420415,.037724454
0,2,.023958357,.013266537,.070930228,-.0020435788,.049960293
0,3,.035491053,.018354122,.05315211,-.00048236342,.071464472
0,4,.038099758,.020431122,.062210806,-.0019445058,.078144021
0,5,.030382115,.017928321,.090143055,-.0047567496,.065520979
1,1,.010055959,.005489199,.066958293,-.00070267316,.020814592
1,2,.029317755,.013549899,.030488286,.0027604424,.055875067
1,3,.027459707,.013172709,.037106469,.0016416713,.053277742
1,4,.021761665,.0117413,.063820913,-.001250861,.044774193
1,5,.022570973,.012046907,.060986869,-.0010405317,.046182476
