Expungement,Sequence,b,se,pvalue,ll,ul
0,1,7.5179791,.34026015,0,6.8510818,8.1848764
0,2,7.3185329,.3417747,0,6.6486669,7.988399
0,3,7.6033225,.35587656,0,6.9058175,8.300828
0,4,7.8530178,.35907111,0,7.1492515,8.5567837
0,5,7.9037161,.39044082,0,7.1384659,8.6689663
1,1,7.5354691,.61078852,5.7050598e-35,6.3383455,8.7325926
1,2,7.6709571,.37912244,0,6.9278908,8.4140234
1,3,7.3423538,.40407935,0,6.5503726,8.1343346
1,4,8.00912,.39108515,0,7.2426071,8.7756329
1,5,7.9584327,.38463831,0,7.2045555,8.7123098
