Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.34483489,.053158272,8.7593231e-11,.24064659,.44902319
0,2,.29803899,.057384297,2.0611374e-07,.18556783,.41051012
0,3,.35692677,.064320333,2.8697031e-08,.23086123,.48299232
0,4,.28407505,.067546181,.000026034228,.15168697,.41646314
0,5,.2714065,.070462093,.00011724847,.13330334,.40950966
1,1,.31169215,.10988437,.0045604305,.096322745,.52706158
1,2,.28093389,.069029048,.000047055139,.14563942,.41622832
1,3,.19436577,.067885317,.0041945348,.061312988,.32741854
1,4,.25326174,.06502334,.000098224722,.12581833,.38070515
1,5,.28785187,.069810316,.000037341291,.15102617,.42467758
