Expungement,Sequence,b,se,pvalue,ll,ul
0,1,3.161119,.12956168,0,2.9071829,3.4150553
0,2,3.0573783,.12998222,0,2.8026178,3.3121388
0,3,3.1669848,.13428646,0,2.9037883,3.4301815
0,4,3.0891056,.14048521,0,2.8137596,3.3644514
0,5,3.0378518,.15198742,0,2.7399619,3.3357418
1,1,3.0961568,.21389964,0,2.6769211,3.5153923
1,2,3.0714624,.15776294,0,2.7622526,3.380672
1,3,3.1232049,.15260062,0,2.8241134,3.4222968
1,4,3.0805759,.15830466,0,2.7703044,3.3908472
1,5,3.1770527,.16053891,0,2.8624024,3.4917033
