Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.10302734,.041701891,.013489881,.021293139,.18476155
0,2,.081935845,.041655067,.049182292,.00029341792,.16357827
0,3,.082777053,.046679437,.076177582,-.0087129679,.17426707
0,4,.13028349,.046361379,.0049514929,.03941685,.22115012
0,5,.076670162,.046686966,.1005449,-.014834612,.16817494
1,1,.16866967,.087585531,.054132994,-.002994824,.34033415
1,2,.10208603,.049597252,.039561328,.0048772041,.19929487
1,3,.090601064,.048840772,.063592046,-.0051250933,.18632722
1,4,.00012555196,.045701467,.99780804,-.089447677,.089698784
1,5,.039657932,.047801282,.40674144,-.054030858,.13334672
