effect,b,se,pvalue,ll,ul
Expunge1,.0704723602492763,.1057522496231066,.5051611358382317,-.1367982402961021,.2777429607946547
Sequence3,0,,,,
Sequence4,0,,,,
Sequence5,0,,,,
Sequence6,0,,,,
ES3,.0064975628129448,.0258743369201899,.8017213536338703,-.0442152056744824,.0572103313003721
ES4,-.0019164535438946,.0015612146525666,.219619670973296,-.0049763780350614,.0011434709472721
ES5,-.003518888793993,.007179636727839,.6240484698456744,-.0175907182026385,.0105529406146525
ES6,-.0013134449931858,.0083723144683764,.8753397707145557,-.0177228798184472,.0150959898320755
