"stid","recid","treatment","expunge","white","female","age_enroll","total_income","income","ps_employed","unemployed","unemployed_q","local_unemploy","married","dependent"
"KSSTID0242",0,1,1,1,0,37,7442.85125,6.89140645103419,1,1,1,3.120833333375,0,1
"KSSTID0243",1,1,0,0,1,30,3106.74875,5.86872671597723,1,1,1,3.31666666675,0,1
"KSSTID0244",0,0,0,1,1,62,2279.46,5.90500726123029,,1,1,2.869444444375,1,0
"KSSTID0245",0,0,0,1,0,35,250.955,1.61192269250446,1,1,1,2.897916666625,1,1
"KSSTID0246",0,1,1,1,0,56,0,0,1,1,1,3.31666666675,0,0
"KSSTID0247",0,0,0,1,0,27,0,0,0,1,1,2.54166666675,0,0
"KSSTID0248",0,1,1,0,0,36,1219.346375,3.87735709031914,0,1,1,3.054166666625,0,1
"KSSTID0249",0,1,0,1,1,42,6196.17,5.58823292404319,0,1,1,2.879166666625,0,1
"KSSTID0250",0,0,0,1,1,38,231.25875,0.940439891156805,0,1,1,3.204166666625,1,1
"KSSTID0251",0,0,0,1,1,57,6502.975,5.77814625828763,1,1,1,2.54166666675,0,0
"KSSTID0252",0,0,0,1,0,42,2884.29,4.278974818087,1,1,1,2.879166666625,0,0
"KSSTID0253",0,1,1,1,0,43,12506.25,6.18994838848005,1,1,1,2.743750000125,1,1
"KSSTID0254",0,0,0,1,0,37,6835.2775,5.80906337361047,1,1,1,2.54166666675,0,1
"KSSTID0255",0,1,1,0,1,26,47.275,0.742257971297609,0,1,1,2.79583333325,0,1
"KSSTID0256",0,0,0,1,0,47,12244.1875,6.16153675092532,0,1,1,2.82916666675,1,1
"KSSTID0257",0,1,1,1,1,35,571.93375,1.05358540469695,1,1,1,3.1041666665,0,1
"KSSTID0258",0,1,1,1,0,34,4530.2075,5.55124762403824,1,1,1,3.150000000125,1,1
"KSSTID0259",0,0,0,1,0,60,4458.7825,5.54241910011092,1,1,1,2.45833333325,0,0
"KSSTID0260",0,1,1,0,1,27,626.465,2.74739920371367,1,1,1,3.150000000125,0,1
"KSSTID0261",0,1,1,1,1,32,1722.39,4.90090654898168,1,1,1,3.0375,0,1
"KSSTID0262",0,0,0,1,0,65,0,0,1,1,1,2.54166666675,0,0
"KSSTID0263",1,0,0,0,1,39,4496.08625,5.54027135736696,1,1,1,3.150000000125,0,0
"KSSTID0264",0,1,1,1,1,32,1172.38,4.29503234736638,1,1,1,3.025,1,1
"KSSTID0265",0,1,0,0,0,59,0,0,1,1,1,3.49583333325,1,0
"KSSTID0266",0,1,1,1,1,42,4902.54625,5.53512934701786,1,1,1,3.150000000125,0,1
"KSSTID0267",0,1,0,0,1,30,0,0,1,1,1,2.654166666625,0,1
"KSSTID0268",0,0,0,1,0,44,2421.3975,5.12464602509113,1,1,1,3.150000000125,1,1
"KSSTID0269",0,0,0,1,0,43,0,0,1,1,1,2.85416666675,0,0
"KSSTID0270",0,1,1,0,1,62,3547.38,5.37598800244885,1,1,1,3.0375,0,1
"KSSTID0271",0,1,1,1,0,38,16034.18,6.33680783199119,1,1,1,3.150000000125,0,0
"KSSTID0272",0,1,1,0,1,65,4880.7825,5.5946502781861,1,1,1,3.075000000125,1,0
"KSSTID0273",0,1,1,1,1,40,2398.32,4.22039053434035,1,1,1,3.004166666875,0,1
"KSSTID0274",0,0,0,1,1,36,128.19625,0.866747303377801,1,1,1,3.150000000125,0,1
"KSSTID0275",0,0,0,0,1,38,4441.60875,5.53784541434865,1,1,1,3.150000000125,0,1
"KSSTID0276",0,0,0,1,0,42,0,0,1,1,1,3.17499999975,0,0
"KSSTID0277",0,0,0,1,0,34,677.5,1.07475444740754,1,1,1,2.4666666665,0,0
"KSSTID0278",0,0,1,1,1,26,404.46875,1.8292557710749,1,1,1,3.150000000125,0,1
"KSSTID0279",0,1,0,1,1,40,4286.845,5.50978865828622,1,1,1,2.866666666875,0,1
"KSSTID0280",0,0,0,1,1,51,6459.21,5.77336449421667,1,1,1,3.025,0,0
"KSSTID0281",0,1,0,0,1,81,2085.8825,4.15679879991076,1,1,1,3.225,0,0
"KSSTID0282",0,0,0,1,0,32,7519.91625,5.86909579084254,1,1,1,3.150000000125,1,1
"KSSTID0283",0,0,0,1,1,39,0,0,1,1,1,2.624999999875,0,1
"KSSTID0284",0,1,0,0,1,48,0,0,1,1,1,3.120833333375,0,1
"KSSTID0285",0,0,0,0,0,37,9000,4.89909129544535,1,1,1,2.516666666625,1,1
"KSSTID0286",1,1,0,1,0,59,1434.4825,2.99880913205955,0,1,1,3.120833333375,0,0
