"stid","recid","treatment","expunge","white","female","age_enroll","total_income","income","ps_employed","unemployed","unemployed_q","local_unemploy","married","dependent"
"KSSTID0099",0,0,0,1,0,44,7666.69,8.94040046246016,1,0,0,5.05416666675,0,0
"KSSTID0100",0,0,0,1,0,58,0,0,1,1,1,2.81458333325,1,1
"KSSTID0101",0,1,1,0,1,53,570.625,2.64240015628357,1,1,1,5.05416666675,0,1
"KSSTID0102",0,0,0,1,1,50,7597.445,8.92419339447522,0,0,0,3.720833333375,1,0
"KSSTID0103",0,0,0,1,1,32,3392.34875,4.39869430423582,1,1,1,2.770833333375,1,1
"KSSTID0104",0,1,1,1,1,58,11813.6275,9.320394988934,1,0,0,2.81458333325,0,0
"KSSTID0105",1,0,0,0,1,34,3723.72,7.22277900809098,0,1,1,5.05416666675,0,1
"KSSTID0106",0,0,0,1,0,52,8648.37875,9.05790833141351,1,0,0,5.05416666675,0,0
"KSSTID0107",0,0,0,1,0,27,7368.0025,8.87401936664902,0,0,0,3.683333333125,0,0
"KSSTID0108",0,0,0,0,0,33,1212.79,4.40289803132233,1,1,1,3.720833333375,0,0
"KSSTID0109",0,0,0,0,0,34,8554.89375,8.78370066146214,0,0,0,3.27708333325,1,1
"KSSTID0110",0,1,1,1,0,31,4739.75,8.23560666736749,0,1,1,2.983333333375,0,0
"KSSTID0111",0,0,0,0,0,40,3727.70525,5.26261456049367,0,1,1,5.05416666675,1,1
"KSSTID0112",0,0,0,1,1,41,4431.88875,8.39570340082391,1,0,0,3.529166666625,1,1
"KSSTID0113",0,1,1,0,1,37,1439.7925,3.63833932802323,1,1,1,3.356250000125,1,1
"KSSTID0114",0,1,1,0,0,36,627.808875,1.95713152412187,0,1,1,3.0916666665,1,0
"KSSTID0115",0,1,1,0,0,43,4058.18875,8.18206271146049,1,0,0,5.05416666675,0,0
"KSSTID0116",0,1,1,1,0,42,0,0,1,1,1,3.0916666665,1,1
"KSSTID0117",0,1,1,0,0,34,0,0,1,1,1,2.341666666625,0,0
"KSSTID0118",0,1,1,0,0,48,0,0,1,1,1,5.05416666675,0,1
"KSSTID0119",0,0,0,0,0,36,7340.154,8.76636851340199,0,1,1,5.05416666675,0,1
"KSSTID0120",0,1,1,1,0,44,11890.9525,9.32096856993997,0,0,0,3.908333333375,1,1
"KSSTID0121",0,0,0,1,1,36,9735.09875,9.14933956482394,1,0,0,3.2680555555,0,1
"KSSTID0122",0,0,0,0,1,41,1638.53,2.76832120641178,1,1,1,3.020833333375,0,0
"KSSTID0123",0,0,0,1,0,37,15450.7625,9.64230031939131,1,0,0,5.05416666675,1,1
"KSSTID0124",0,0,0,0,0,32,2945.294125,4.32610155670355,0,1,1,5.05416666675,0,0
"KSSTID0125",0,1,1,1,0,42,15269.93,9.62516097982158,1,0,0,2.70000000025,1,1
"KSSTID0126",0,0,0,1,1,43,3820.84125,8.19588392921265,1,0,0,3.8333333335,0,1
"KSSTID0127",1,0,0,1,1,32,1532.8075,4.79697153547859,0,1,1,3.35416666675,1,1
"KSSTID0128",0,1,1,1,0,32,0,0,1,1,1,3.18333333325,0,0
"KSSTID0129",1,1,0,1,1,49,203.7025,2.26075488368151,0,1,1,2.96666666675,1,1
"KSSTID0130",1,0,0,1,1,39,5214.245,6.15433191821454,1,1,1,3.35416666675,1,0
"KSSTID0131",1,0,0,1,0,49,3621.40625,8.18427374203429,1,0,0,3.11388888875,1,0
"KSSTID0132",0,1,1,0,0,48,4450.825,5.44213979699877,1,1,1,4.333333333375,0,1
"KSSTID0133",0,0,0,1,1,40,11931.52,9.37724103423168,0,0,0,2.61458333325,0,1
"KSSTID0134",0,1,1,0,1,43,5578.67125,8.5993634425371,1,0,0,2.61458333325,0,1
"KSSTID0135",0,1,1,1,1,45,2185.3525,4.59807208143614,0,1,1,4.333333333375,0,1
"KSSTID0136",0,1,1,1,1,45,112.24375,1.96005081386716,1,1,1,3.2680555555,1,0
"KSSTID0137",1,1,1,0,0,36,14013.18,9.44547805421017,1,1,1,3.041666666625,0,1
"KSSTID0138",1,0,0,1,1,32,6054.345,5.70348082779535,1,1,1,2.61458333325,0,1
"KSSTID0139",1,1,1,0,1,50,5103.00775,8.37048099443755,0,1,1,4.333333333375,0,1
"KSSTID0140",0,1,1,1,1,52,0,0,1,1,1,4.333333333375,0,0
"KSSTID0141",1,1,1,1,0,37,19302.67875,9.86376285546404,1,0,0,2.6,1,1
"KSSTID0142",1,0,0,1,0,53,899.7675,3.39732418689469,1,1,1,4.333333333375,0,0
"KSSTID0143",0,0,0,1,0,34,543.32875,1.04717326850301,1,1,1,3.641666666625,0,0
"KSSTID0144",0,0,0,1,1,55,8953.5,9.07114874574546,1,0,0,2.61458333325,1,1
"KSSTID0145",0,1,1,0,0,30,6122.41375,8.5187685503632,1,0,0,3.470833333375,1,1
"KSSTID0146",0,1,1,1,0,29,10825.734375,9.26815834552831,1,0,0,2.61458333325,0,0
"KSSTID0147",0,0,0,0,0,59,0,0,1,1,1,4.333333333375,0,0
"KSSTID0148",0,0,0,1,1,30,12.5,0.576890064605157,1,1,1,4.02083333325,0,0
"KSSTID0149",0,1,1,1,1,30,5833.53875,8.57161894972682,1,0,0,2.189583333375,0,0
"KSSTID0150",0,1,0,0,0,50,1676,3.1492900269895,0,1,1,4.333333333375,0,0
"KSSTID0151",0,0,0,1,0,49,0,0,1,1,1,3.214583333375,1,1
"KSSTID0152",0,1,0,0,0,63,0,0,1,1,1,4.333333333375,0,0
"KSSTID0153",0,0,0,1,0,39,23366.4575,10.0355345108177,1,0,0,2.0208333335,1,1
"KSSTID0154",1,0,0,0,0,30,10765.0775,9.25679244079637,0,0,0,2.61458333325,0,1
"KSSTID0155",0,0,0,0,1,40,1048.6975,2.81964634636799,1,1,1,4.333333333375,0,1
"KSSTID0156",1,1,0,1,0,35,2113.03775,5.89294420991222,0,1,1,3.641666666625,0,0
"KSSTID0157",1,1,1,1,1,37,3898.72925,5.41233414174673,1,1,1,4.333333333375,0,1
"KSSTID0158",0,1,1,0,0,41,14910.68875,9.57757356851666,0,0,0,3.158333333375,0,0
"KSSTID0159",0,1,0,0,0,34,5633.74375,5.48353296275581,0,1,1,3.3375,0,1
"KSSTID0160",0,0,0,1,1,53,4872.43875,8.38622401819496,1,0,0,2.16666666675,0,0
"KSSTID0161",0,1,1,0,1,27,10619.86875,9.25912138733147,1,0,0,3.875000000125,0,1
"KSSTID0162",0,0,0,1,0,43,6265.3125,5.75567538516992,1,1,1,3.875000000125,0,0
"KSSTID0163",0,0,0,1,0,70,0,0,1,1,1,3.7458333335,0,0
"KSSTID0164",0,0,0,1,1,53,8390.34,9.01552281797128,1,0,0,3.875000000125,0,0
"KSSTID0165",1,1,1,0,1,33,7694.435,8.88079595564326,0,1,1,3.875000000125,0,0
"KSSTID0166",0,1,1,1,1,50,5979.88125,8.67952728598613,1,0,0,2.29583333325,0,0
"KSSTID0167",0,0,0,1,1,60,6163.02875,8.66698116502432,1,0,0,2.8,0,0
"KSSTID0168",0,0,0,1,1,41,2521.73875,6.06790464004774,1,1,1,2.518749999875,1,0
"KSSTID0169",0,1,1,1,0,41,8324.41875,8.74330624368201,0,0,0,2.829166666625,1,1
"KSSTID0170",1,1,1,1,0,37,0,0,1,1,1,2.518749999875,1,1
"KSSTID0171",0,0,0,0,1,31,8210.5775,9.00919859961129,1,0,0,2.305555555625,0,1
"KSSTID0172",0,1,1,1,0,45,14404.16125,9.53376596170713,1,0,0,2.518749999875,1,1
"KSSTID0173",0,0,0,1,1,42,8736.7275,9.06148785671026,1,0,0,2.518749999875,0,1
"KSSTID0174",0,0,0,1,1,41,5142.7375,8.43413519606336,0,0,0,2.719444444375,0,1
"KSSTID0175",0,0,1,1,1,46,0,0,1,1,1,3.875000000125,0,1
"KSSTID0176",0,1,0,1,1,36,0,0,1,1,1,2.829166666625,0,0
"KSSTID0177",0,1,1,1,1,58,1829.55625,5.74716345285531,1,1,1,2.82291666675,0,0
"KSSTID0178",0,1,1,0,0,35,0,0,0,1,1,4.05833333325,1,1
"KSSTID0179",0,1,1,1,0,31,3340.39375,5.99548857568424,1,1,1,3.322916666625,1,1
