effect,b,se,pvalue,ll,ul
Expunge1,-.4695062202316448,.2527313526114263,.0632075883451593,-.9648505691141334,.0258381286508436
Sequence3,-.3214869683174426,.1279620473174235,.0119926043869649,-.5722879724476028,-.0706859641872823
Sequence4,-.5356575676079567,.1575968160336955,.0006765470272395,-.8445416511121844,-.2267734841037289
Sequence5,-.3978880120234436,.1576288884796058,.0115959481989072,-.7068349563665517,-.0889410676803356
Sequence6,-.5870331134329511,.1831356893151593,.001348493800595,-.9459724687745801,-.228093758091322
ES3,.2213054877758475,.2502146363624658,.3764465432503417,-.2691061878993717,.7117171634510666
ES4,.4117301231490667,.2436768187711442,.0910936880434492,-.0658676655096696,.889327911807803
ES5,-.0349041533337481,.2813254939591799,.9012595716614477,-.5862919894266814,.516483682759185
ES6,-.1958530436810174,.2854507086263125,.4926383158538838,-.7553261519500267,.363620064587992
