Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.012850367,.0080698812,.11129799,-.0029663101,.028667042
0,2,.014390792,.0086896755,.097705767,-.0026406597,.031422243
0,3,.012749728,.0079508955,.10881137,-.0028337417,.028333196
0,4,.018260034,.010812242,.091252111,-.0029315718,.039451636
0,5,.011724549,.0081663821,.15108511,-.0042812647,.027730362
1,1,.0051718671,.0030683321,.091879994,-.00084195327,.011185688
1,2,.0098198326,.0050485753,.051766537,-.000075192722,.019714858
1,3,.011371955,.0063842633,.074871987,-.0011409716,.023884881
1,4,.0063387561,.0040503894,.11758889,-.0015998612,.014277373
1,5,.0022765249,.001603305,.15563823,-.00086589518,.0054189446
