effect,b,se,pvalue,ll,ul
Expunge1,.0792504020805577,.1033877817479936,.4433577538857645,-.1233859265869973,.2818867307481128
Sequence3,0,,,,
Sequence4,0,,,,
Sequence5,0,,,,
Sequence6,0,,,,
ES3,.0658620780672627,.0238433587552071,.0057398897989775,.019129953636589,.1125942024979365
ES4,-.0033316160614043,.0012984599407427,.0102931867585235,-.0058765507806281,-.0007866813421806
ES5,-.0243579871452207,.0052596619704796,3.63739294858e-06,-.0346667351782157,-.0140492391122256
ES6,-.0338527034477685,.0125267094506645,.0068832230217913,-.0584046028158683,-.0093008040796686
