"stid","seq","life_comp","treatment","expunge","white","female","age_enroll","income","income_lag","house_sat","job_sat","unemployed","unemploy_lag","ps_income","ps_employed","local_unemploy","married","dependent","year"
"KSSTID0007",2,-0.867397204673073,1,0,0,1,51,7.80153860895298,8.69209562780589,,2,0,0,2734.64,1,8.7,0,0,2020
"KSSTID0007",3,0.723212333096836,1,0,0,1,51,8.04450756883954,7.80153860895298,4,3,0,0,2734.64,1,5.3,0,0,2020
"KSSTID0007",4,0.34060639922751,1,0,0,1,51,9.21873007974981,8.04450756883954,3,3,0,0,2734.64,1,3.566666667,0,0,2020
"KSSTID0007",5,0.881067960706494,1,0,0,1,51,9.03610602536485,9.21873007974981,4,,0,0,2734.64,1,3.333333333,0,0,2021
"KSSTID0007",6,-3.04637155886132,1,0,0,1,51,9.35345234888822,9.03610602536485,4,,0,0,2734.64,1,3.033333333,0,0,2021
"KSSTID0008",1,3.13795322630237,0,0,1,0,46,0,0,2,3,1,1,0,1,2.966666667,1,0,2019
"KSSTID0008",2,2.66296404526357,0,0,1,0,46,0,0,3,1,1,1,0,1,14.46666667,1,0,2020
"KSSTID0008",3,1.61396926942614,0,0,1,0,46,0,0,3,2,1,1,0,1,9.1,1,0,2020
"KSSTID0008",4,2.61699851719934,0,0,1,0,46,0,0,2,1,1,1,0,1,6.533333333,1,0,2020
"KSSTID0008",5,4.5420349161339,0,0,1,0,46,0,0,2,3,1,1,0,1,5.7,1,0,2021
"KSSTID0008",6,-0.450996806048212,0,0,1,0,46,0,0,1,3,1,1,0,1,5.066666667,1,0,2021
"KSSTID0009",1,-1.10526666589835,1,0,1,1,31,7.64986822733991,7.93069529569425,3,1,1,0,2780.36,0,3.7,0,1,2020
"KSSTID0009",2,-0.319120379190358,1,0,1,1,31,0,7.64986822733991,3,2,1,1,2780.36,0,14.46666667,0,1,2020
"KSSTID0009",3,-0.612078788741207,1,1,1,1,31,0,0,2,4,1,1,2780.36,0,9.1,0,1,2020
"KSSTID0009",4,0.0817829951138404,1,1,1,1,31,8.119115727342,0,3,2,0,1,2780.36,0,6.533333333,0,1,2020
"KSSTID0009",5,0.288161908924722,1,1,1,1,31,8.43950188370037,8.119115727342,3,4,0,0,2780.36,0,5.7,0,1,2021
"KSSTID0009",6,-3.09569943339186,1,1,1,1,31,8.80383722529235,8.43950188370037,4,4,0,0,2780.36,0,5.066666667,0,1,2021
"KSSTID0010",1,-0.655446500399196,1,0,1,1,40,0,0,4,4,1,1,0,1,3.7,1,1,2020
"KSSTID0010",2,-1.35121694785468,1,0,1,1,40,0,0,4,4,1,1,0,1,9.933333333,1,1,2020
"KSSTID0010",3,-0.637573219671063,1,0,1,1,40,0,0,4,4,1,1,0,1,6.1,0,1,2020
"KSSTID0010",4,-1.24645312582198,1,0,1,1,40,0,0,4,4,1,1,0,1,4.366666667,1,1,2020
"KSSTID0010",5,-0.087321122262925,1,0,1,1,40,0,0,4,4,1,1,0,1,4.066666667,0,1,2021
"KSSTID0010",6,-2.57026055789475,1,0,1,1,40,0,0,4,4,1,1,0,1,3.533333333,0,1,2021
"KSSTID0011",1,2.35208349131626,0,0,1,1,29,0,0,1,1,1,1,0,1,3.883333333,1,1,2020
"KSSTID0011",2,3.4395496971416,0,0,1,1,29,0,0,3,1,1,1,0,1,8.3,0,1,2020
"KSSTID0011",3,2.65753926268738,0,0,1,1,29,0,0,2,,1,1,0,1,5.1,1,1,2020
"KSSTID0011",4,2.94581322751755,0,0,1,1,29,0,0,4,1,1,1,0,1,3.7,0,1,2020
"KSSTID0011",5,2.75627293869149,0,0,1,1,29,0,0,2,1,1,1,0,1,3.666666667,0,1,2021
"KSSTID0011",6,1.03982635733376,0,0,1,1,29,0,0,2,1,1,1,0,1,3.3,0,1,2021
"KSSTID0012",1,0.166261492713758,0,0,0,0,39,8.64897730844343,8.18536973246441,4,2,0,0,3587.07,1,4.266666667,1,1,2020
"KSSTID0012",2,-0.15747030162067,0,0,0,0,39,8.68413711616587,8.64897730844343,2,3,0,0,3587.07,1,8.483333333,1,1,2020
"KSSTID0012",3,-0.216754231036694,0,0,0,0,39,8.64825654092638,8.68413711616587,4,,0,0,3587.07,1,5.45,1,1,2020
"KSSTID0012",4,1.9189096162623,0,0,0,0,39,8.72235198211295,8.64825654092638,4,2,0,0,3587.07,1,3.9,1,1,2020
"KSSTID0012",5,0.243008912976789,0,0,0,0,39,8.62245370207373,8.72235198211295,,4,0,0,3587.07,1,3.85,1,1,2021
"KSSTID0012",6,-0.472897957472154,0,0,0,0,39,8.75854437320501,8.62245370207373,3,1,0,0,3587.07,1,3.716666667,1,1,2021
"KSSTID0013",1,-2.93718034142003,0,0,1,1,38,5.48604097263099,8.03346703753197,1,3,1,0,3081.41,1,3.833333333,1,1,2020
"KSSTID0013",2,-0.0900586028670481,0,0,1,1,38,8.04715756165849,5.48604097263099,1,3,1,1,3081.41,1,7.6,1,1,2020
"KSSTID0013",3,-0.483664484606609,0,1,1,1,38,8.50205924883152,8.04715756165849,2,4,1,1,3081.41,1,5.066666667,1,1,2020
"KSSTID0013",4,0.41503023342481,0,1,1,1,38,0,8.50205924883152,,4,1,1,3081.41,1,3.766666667,1,0,2021
"KSSTID0013",5,-2.9238527028268,0,1,1,1,38,0,0,4,4,1,1,3081.41,1,3.233333333,1,0,2021
