effect,b,se,pvalue,ll,ul
Expunge1,-.890293390738359,.9189441721776546,.3326339753807167,-2.691390872009536,.9108040905328181
ES2,.8096253995473344,.8392163620695402,.3346751705232953,-.8352084453456901,2.454459244440359
ES3,.9305794601921147,.8536770639843296,.2756762718055906,-.7425968396450664,2.603755760029296
ES4,.8398808331093738,.8707624392029861,.3347777790300469,-.8667821868187272,2.546543853037475
ES5,.8953877422738084,.8921380223062745,.3155509035979213,-.8531706506852808,2.643946135232897
ES6,1.024449002261617,.8772655650010851,.2428974396076483,-.6949599100176911,2.743857914540926
Sequence2,.2333883502921568,.0784384999502488,.0029257708895218,.0796517153883223,.3871249851959914
Sequence3,-.0587251483881791,.0943743222009244,.5337724327436564,-.2436954209673698,.1262451241910115
Sequence4,0,,,,
Sequence5,-.0770608093081741,.0875384300386654,.3786923003093544,-.2486329794471375,.0945113608307892
Sequence6,-.2155434698604029,.0887793616834471,.0151883894356319,-.3895478213304144,-.0415391183903913
