Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.015715403,.0092624789,.089758396,-.0024387219,.033869527
0,2,.021406157,.01207236,.076203145,-.0022552339,.045067549
0,3,.032939829,.017083535,.053834952,-.00054328679,.066422939
0,4,.035967961,.019352233,.063084587,-.0019617185,.073897637
0,5,.03048888,.017301414,.078032307,-.003421268,.064399026
1,1,.0093809823,.0053109941,.077340037,-.0010283742,.01979034
1,2,.027431797,.013015309,.035060737,.0019222599,.052941334
1,3,.02602952,.012646038,.03955999,.0012437397,.050815299
1,4,.019946132,.011008631,.070007339,-.0016303869,.041522652
1,5,.022223325,.011783762,.059304655,-.00087242218,.045319073
