Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.03895371,.018195812,.032289654,.0032905745,.074616842
0,2,.067730308,.028013967,.015617512,.012823939,.12263668
0,3,.098794684,.038570225,.010424417,.023198433,.17439094
0,4,.10430077,.03905635,.0075733806,.027751733,.18084981
0,5,.10147103,.038739476,.0088105621,.025543051,.17739901
1,1,.035272699,.016405536,.031551372,.0031184393,.067426957
1,2,.10010194,.032265335,.0019191889,.036863048,.16334084
1,3,.07830549,.030043503,.0091498662,.019421302,.13718967
1,4,.15101057,.045413561,.00088345417,.062001623,.24001952
1,5,.11247782,.038331039,.0033421507,.037350364,.18760528
