"stid","seq","moved_uty","treatment","expunge","white","female","age_enroll","income","income_lag","house_sat","move_deter","unemployed","unemploy_lag","ps_employed","ps_moved","local_unemploy","married","dependent","year"
"KSSTID0121",2,0,0,0,1,1,36,9.63675842590257,9.4180453596012,3,1,0,0,1,0,3.711111111,0,1,2021
"KSSTID0121",3,0,0,0,1,1,36,9.09460174509132,9.63675842590257,3,0,0,0,1,0,3.533333333,0,1,2021
"KSSTID0121",4,0,0,0,1,1,36,8.94286476683485,9.09460174509132,4,,0,0,1,0,2.355555556,0,1,2021
"KSSTID0121",5,0,0,0,1,1,36,9.2532983237148,8.94286476683485,4,0,0,0,1,0,2.911111111,1,1,2022
"KSSTID0121",6,0,0,0,1,1,36,8.84437526493988,9.2532983237148,3,0,0,0,1,0,2.733333333,0,1,2022
"KSSTID0122",1,0,0,0,0,1,41,0,6.54312016536223,4,0,1,0,1,0,3.466666667,0,0,2020
"KSSTID0122",2,0,0,0,0,1,41,0,0,4,0,1,1,1,0,3.266666667,0,0,2021
"KSSTID0122",3,0,0,0,0,1,41,0,0,4,0,1,1,1,0,2.7,0,0,2021
"KSSTID0122",4,0,0,0,0,1,41,0,0,4,0,1,1,1,0,2,0,0,2021
"KSSTID0122",5,0,0,0,0,1,41,8.3531860963256,0,2,0,0,1,1,0,2.5,0,0,2022
"KSSTID0122",6,0,0,0,0,1,41,9.07747732738592,8.3531860963256,3,0,0,0,1,0,2.333333333,0,0,2022
"KSSTID0123",1,1,0,0,1,0,37,9.80247368760113,9.36199393660483,3,0,0,0,1,1,6.533333333,0,0,2020
"KSSTID0123",2,0,0,0,1,0,37,9.61108435308181,9.80247368760113,3,0,0,0,1,1,5.7,1,1,2021
"KSSTID0123",3,1,0,0,1,0,37,9.58083093916844,9.61108435308181,4,0,0,0,1,1,5.066666667,1,1,2021
"KSSTID0123",4,1,0,0,1,0,37,9.60258919513773,9.58083093916844,4,0,0,0,1,1,3.066666667,1,1,2021
"KSSTID0123",5,0,0,0,1,0,37,9.62369626578708,9.60258919513773,4,0,0,0,1,1,3.366666667,1,0,2022
"KSSTID0123",6,0,0,0,1,0,37,9.5396498744979,9.62369626578708,4,0,0,0,1,1,2.966666667,1,0,2022
"KSSTID0124",1,0,0,0,0,0,32,0,8.80707534192047,2,1,1,0,0,0,6.533333333,0,0,2020
"KSSTID0124",2,0,0,0,0,0,32,8.3478273457825,0,2,1,1,1,0,0,5.7,0,0,2021
"KSSTID0124",3,0,0,0,0,0,32,8.9947928972836,8.3478273457825,2,1,1,1,0,0,5.066666667,0,0,2021
"KSSTID0124",4,0,0,0,0,0,32,0,8.9947928972836,2,1,1,1,0,0,3.066666667,0,0,2021
"KSSTID0124",5,0,0,0,0,0,32,0,0,1,1,1,1,0,0,3.366666667,0,0,2022
"KSSTID0124",6,0,0,0,0,0,32,0,0,2,1,1,1,0,0,2.966666667,0,0,2022
"KSSTID0125",1,0,1,0,1,0,42,9.79722273923552,9.51466567431537,2,1,0,0,1,0,3.566666667,1,1,2020
"KSSTID0125",2,0,1,0,1,0,42,9.40712023523083,9.79722273923552,,0,0,0,1,0,3.466666667,1,1,2021
"KSSTID0125",3,0,1,1,1,0,42,9.70526402697635,9.40712023523083,1,0,0,0,1,0,2.766666667,1,1,2021
"KSSTID0125",4,0,1,1,1,0,42,9.7767473333175,9.70526402697635,2,0,0,0,1,0,1.7,1,1,2021
"KSSTID0125",5,0,1,1,1,0,42,9.53526331436907,9.7767473333175,2,0,0,0,1,0,2.066666667,1,1,2022
"KSSTID0125",6,0,1,1,1,0,42,9.58119609174449,9.53526331436907,2,0,0,0,1,0,2.266666667,1,1,2022
"KSSTID0126",1,0,0,0,1,1,43,7.80633000505051,7.97527585777257,3,,0,0,1,0,5.311111111,0,1,2020
"KSSTID0126",2,0,0,0,1,1,43,7.7846937690535,7.80633000505051,,,0,0,1,0,4.5,0,1,2021
"KSSTID0126",3,0,0,0,1,1,43,8.12235937037673,7.7846937690535,,,0,0,1,0,4.188888889,0,1,2021
"KSSTID0126",4,0,0,0,1,1,43,8.04498232802045,8.12235937037673,3,0,0,0,1,0,2.866666667,0,1,2021
"KSSTID0126",5,0,0,0,1,1,43,8.56227553773604,8.04498232802045,2,0,0,0,1,0,3.188888889,1,1,2022
"KSSTID0126",6,0,0,0,1,1,43,8.55786285433462,8.56227553773604,,0,0,0,1,0,3,0,1,2022
"KSSTID0127",1,0,0,0,1,1,32,0,5.66936354778574,4,0,1,0,0,0,4.366666667,1,1,2020
"KSSTID0127",2,0,0,0,1,1,32,0,0,4,0,1,1,0,0,4.066666667,1,1,2021
"KSSTID0127",3,0,0,0,1,1,32,6.48867287491479,0,4,0,0,1,0,0,3.533333333,1,1,2021
"KSSTID0127",4,0,0,0,1,1,32,7.97974976974595,6.48867287491479,4,0,0,0,0,0,2.4,1,1,2021
"KSSTID0127",5,0,0,0,1,1,32,7.90015854396313,7.97974976974595,4,0,0,0,0,0,3.066666667,1,1,2022
"KSSTID0127",6,0,0,0,1,1,32,7.95350110666019,7.90015854396313,4,0,0,0,0,0,2.7,1,1,2022
"KSSTID0128",1,1,1,0,1,0,32,0,0,2,1,1,1,1,1,3.666666667,0,0,2020
"KSSTID0128",2,1,1,0,1,0,32,0,0,,1,1,1,1,1,3.866666667,0,0,2021
"KSSTID0128",3,1,1,0,1,0,32,0,0,1,1,1,1,1,1,3.4,0,0,2021
"KSSTID0128",4,0,1,0,1,0,32,0,0,3,0,1,1,1,1,2.433333333,0,0,2021
"KSSTID0128",5,0,1,1,1,0,32,0,0,2,0,1,1,1,1,3.233333333,0,0,2022
"KSSTID0128",6,0,1,1,1,0,32,0,0,2,0,1,1,1,1,2.6,0,0,2022
"KSSTID0129",1,0,1,0,1,1,49,0,0,4,0,1,1,0,0,3.633333333,1,1,2020
"KSSTID0129",2,0,1,0,1,1,49,0,0,3,0,1,1,0,0,3.65,0,0,2021
"KSSTID0129",3,0,1,0,1,1,49,0,0,4,0,1,1,0,0,3.15,0,0,2021
"KSSTID0129",4,0,1,0,1,1,49,4.84418708645859,0,3,0,0,1,0,0,2.166666667,0,0,2021
"KSSTID0129",5,0,1,0,1,1,49,6.5449041588145,4.84418708645859,3,0,0,0,0,0,2.75,1,1,2022
"KSSTID0129",6,0,1,0,1,1,49,6.696947824179,6.5449041588145,3,0,0,0,0,0,2.416666667,1,1,2022
"KSSTID0130",1,1,0,0,1,1,39,9.42031600555195,8.62432234211663,4,1,0,0,1,1,4.366666667,1,0,2020
