effect,b,se,pvalue,ll,ul
Expunge1,-.4156483256070979,.2534326122115172,.100989709806462,-.9123671180495774,.0810704668353816
Sequence3,-.2985535651208895,.1268439191952706,.0185871986347153,-.5471630784015288,-.0499440518402503
Sequence4,-.5006054058462844,.1566254257848494,.0013925295516626,-.8075855994478405,-.1936252122447285
Sequence5,-.3857416009611168,.1575806495401054,.01436917097857,-.6945939987201515,-.076889203202082
Sequence6,-.5510335196150665,.1808346895907132,.0023100923790646,-.9054629983683445,-.1966040408617885
ES3,.1863529357999751,.2534657928685435,.4622059635900813,-.3104308895352594,.6831367611352095
ES4,.3455338036184199,.2438430464139399,.1564730876279761,-.132389785233431,.8234573924702708
ES5,-.0501728559186976,.2813293438354642,.8584543457797524,-.6015682376304928,.5012225257930977
ES6,-.2706997763561607,.2892325939182536,.34931223004638,-.8375852435910364,.2961856908787149
