Expungement,Sequence,b,se,pvalue,ll,ul
0,1,2.8225684,.12605722,0,2.575501,3.0696361
0,2,2.9097252,.13033098,0,2.6542811,3.1651692
0,3,2.8328075,.13330472,0,2.5715349,3.09408
0,4,3.0030768,.13905278,0,2.7305384,3.2756152
0,5,2.963249,.15255453,0,2.6642475,3.2622504
1,1,3.0161998,.24378242,3.6814824e-35,2.5383949,3.4940045
1,2,3.0747848,.1588968,0,2.7633526,3.3862166
1,3,2.8244567,.14821048,0,2.5339694,3.1149437
1,4,2.9942794,.15187946,0,2.6966009,3.2919576
1,5,3.1421921,.16263865,0,2.8234262,3.460958
