effect,b,se,pvalue,ll,ul
Expunge1,-.8465267355886514,.9203802437144321,.3576994383967659,-2.650438865351135,.9573853941738326
ES2,.7580281830958179,.8357857358923807,.36442544960419,-.8800817580455537,2.39613812423719
ES3,.8811606651005525,.8543304209305894,.3023509385986003,-.793296190820347,2.555617521021452
ES4,.8132815964173661,.870406202496824,.3501129765818367,-.8926832123966859,2.519246405231418
ES5,.8322227571192686,.8910900972452108,.3503359602496177,-.9142817404616388,2.578727254700176
ES6,.9983048070633962,.8786783698104003,.2558964699039997,-.7238731517593548,2.720482765886147
Sequence2,.1167542638554803,.0793878169446522,.141377032523295,-.0388429981672966,.2723515258782572
Sequence3,-.0350983873715268,.0949772437021523,.7117213664729293,-.2212503643786289,.1510535896355753
Sequence4,0,,,,
Sequence5,-.0809128539507519,.0865398282237722,.3497995275006612,-.2505278004976284,.0887020925961246
Sequence6,-.2162107810212873,.0901170922790908,.0164300146959926,-.3928370362797777,-.0395845257627969
