effect,b,se,pvalue,ll,ul
Expunge1,1.84103760722755,2.120588519739266,.3852996558817748,-2.315239517490517,5.997314731945618
ES2,-1.799199670462778,1.948185456962495,.3557332247606675,-5.617573001313975,2.019173660388418
ES3,-1.48537439436867,2.036190805434653,.4657039154486315,-5.476235038672193,2.505486249934854
ES4,-2.090968291502387,2.074153299991176,.3134031366911709,-6.156234057899994,1.97429747489522
ES5,-1.682874134244146,2.072323888811165,.4167508919940318,-5.744554320616016,2.378806052127725
ES6,-1.773357493806321,2.086642391483854,.3954019697426168,-5.863101429729202,2.316386442116561
Sequence2,.2168619471051078,.2224488914885746,.3296176207420708,-.2191298686133569,.6528537628235724
Sequence3,.0284893393785101,.0535068520318447,.5944193322193663,-.0763821635300194,.1333608422870396
Sequence4,-.1369324282014175,.1785857217141536,.4432240888170393,-.4869540109142513,.2130891545114162
Sequence5,.670847649152697,.1996599519005381,.0007795630588826,.2795213342726429,1.062173964032751
Sequence6,0,,,,
