effect,b,se,pvalue,ll,ul
0,.0006530548,.010762144,.95161349,-.020440359,.02174647
2,.0069712549,.011960431,.55998766,-.01647076,.03041327
3,.0098812701,.017130017,.56404793,-.023692949,.043455489
4,.027352374,.018598951,.14138833,-.0091009019,.063805647
5,-.026555458,.020107348,.18660665,-.065965138,.012854218
6,-.013574217,.020128706,.5000754,-.053025756,.025877321
