effect,b,se,pvalue,ll,ul
Expunge1,-1.288870332574019,1.39796567116664,.3565487306384234,-4.028832699683997,1.451092034535959
ES2,1.421765731230593,1.285900175882033,.2688746041300082,-1.098552301211911,3.942083763673097
ES3,1.047378114589693,1.327809299629008,.4302279678168202,-1.555080291020515,3.649836520199901
ES4,1.467678519144701,1.348452706841549,.2764111678525843,-1.175240221120283,4.110597259409685
ES5,.9869042797973003,1.357441600879333,.4672059929855233,-1.673632369042587,3.647440928637188
ES6,1.151786289339016,1.364696206700336,.3986764932090041,-1.522969125632071,3.826541704310102
Sequence2,-.1316336550214201,.1545521473958315,.3943749053253089,-.4345502976505756,.1712829876077354
Sequence3,.0075525529282195,.0297705881749639,.7997336999556164,-.0507967276932838,.0659018335497228
Sequence4,-.1890485941670293,.1307634656045288,.1482530987332986,-.4453402772455479,.0672430889114892
Sequence5,-.3716133262071126,.1340600837690339,.0055714601795973,-.6343662621588416,-.1088603902553835
Sequence6,0,,,,
