Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.061082624,.02678166,.022562461,.0085915364,.11357372
0,2,.11307891,.041487623,.0064183548,.031764671,.19439316
0,3,.13927475,.049586453,.0049737995,.042087086,.23646241
0,4,.14209546,.051716328,.0060034329,.040733323,.2434576
0,5,.15431036,.057808749,.0076003801,.041007292,.26761341
1,1,.05033271,.022321291,.024138397,.0065837828,.094081633
1,2,.10035888,.033815287,.002998855,.034082133,.16663562
1,3,.12268632,.041048475,.0028006104,.042232793,.20313986
1,4,.14922763,.046529632,.0013405589,.058031227,.24042404
1,5,.12366348,.042208616,.0033916298,.040936105,.20639084
