effect,b,se,pvalue,ll,ul
0,-.1182451,.057756659,.040628836,-.23144607,-.0050441204
2,-.18805498,.12276854,.12557556,-.4286769,.052566942
3,.01836871,.082174726,.82312119,-.14269079,.1794282
4,-.056269772,.077814043,.46959919,-.20878249,.096242942
5,-.252296,.069300599,.00027199974,-.38812271,-.11646933
6,-.11927756,.074042663,.10719492,-.26439852,.025843384
