effect,b,se,pvalue,ll,ul
0,.10875908,.13933761,.43507099,-.16433762,.38185576
2,.19431943,.29407266,.50874883,-.38205239,.77069122
3,.18100314,.18079539,.31675473,-.17334931,.53535557
4,-.019611454,.16337979,.90445465,-.33982995,.30060706
5,-.0093949689,.15607756,.95200092,-.31530136,.29651141
6,.17847493,.16414948,.27691716,-.14325213,.500202
