Expungement,Sequence,b,se,pvalue,ll,ul
0,1,-.0065666381,.20554659,.97451419,-.40943056,.39629728
0,2,.034420073,.21102552,.87043297,-.37918234,.44802248
0,3,-.082136445,.22226986,.71172917,-.51777738,.35350448
0,4,-.13860729,.22546145,.53870559,-.58050364,.30328906
0,5,-.27121386,.26811016,.3117407,-.79670012,.25427237
1,1,.036902476,.38769996,.92416942,-.72297543,.79678041
1,2,-.28052878,.25736731,.27571586,-.78495944,.22390187
1,3,-.033579104,.25950569,.897044,-.54220092,.4750427
1,4,-.49736232,.25410286,.050309062,-.99539477,.00067012291
1,5,-.41629004,.25518966,.10282772,-.91645259,.083872475
