effect,b,se,pvalue,ll,ul
0,.0037216456,.13393681,.97783238,-.25878966,.26623294
2,-.098206207,.24866922,.69289672,-.58558893,.38917652
3,.028058557,.16723895,.86676008,-.29972377,.35584089
4,-.043217704,.15093555,.77462369,-.33904591,.25261053
5,-.011039135,.1466763,.94000632,-.2985194,.27644113
6,.15262929,.1467606,.29834536,-.13501619,.44027478
