effect,b,se,pvalue,ll,ul
Expunge1,-.1892710757990352,.1218914942263577,.1204749153578425,-.4281740145044681,.0496318629063977
Sequence3,0,,,,
Sequence4,0,,,,
Sequence5,0,,,,
Sequence6,0,,,,
ES3,.0659354709555193,.0379612624238896,.0824022458913221,-.0084672362029779,.1403381781140165
ES4,.0018639016117562,.001963771275711,.3425474075588066,-.0019850193625117,.0057128225860241
ES5,.0087116985413053,.008317355398091,.2949095613284425,-.0075900184855729,.0250134155681835
ES6,-.0958742132466481,.0399948745251834,.0165225945364869,-.1742627268822061,-.0174856996110902
