effect,b,se,pvalue,ll,ul
0,-.016725464,.020609634,.41705781,-.057119604,.023668677
2,-.021127209,.020135004,.29405037,-.060591094,.018336674
3,-.017610108,.026152195,.5007118,-.068867467,.033647254
4,-.019388288,.028634535,.49834594,-.075510941,.036734369
5,.0070177782,.031211944,.82210165,-.054156508,.068192065
6,-.032155417,.033107225,.3314234,-.097044386,.032733552
