Expungement,Sequence,b,se,pvalue,ll,ul
0,1,3.2188888,.12865184,0,2.9667356,3.4710417
0,2,3.0846632,.12777251,0,2.8342335,3.3350925
0,3,3.2206204,.13346431,0,2.9590352,3.4822056
0,4,3.1313982,.1387587,0,2.8594363,3.4033604
0,5,3.082993,.14817214,0,2.7925811,3.373405
1,1,3.1111314,.21356006,0,2.6925616,3.5297015
1,2,3.1338506,.15789859,0,2.8243749,3.443326
1,3,3.1861644,.1524049,0,2.8874564,3.4848726
1,4,3.1521127,.16135786,0,2.8358572,3.4683683
1,5,3.2279606,.15986246,0,2.9146359,3.5412853
