Expungement,Sequence,b,se,pvalue,ll,ul
0,1,7.5707855,.33822975,0,6.9078674,8.2337036
0,2,7.3697991,.33872741,0,6.7059054,8.0336924
0,3,7.6554356,.36028883,0,6.9492822,8.3615885
0,4,7.9086246,.35866562,0,7.2056532,8.6115961
0,5,7.9575992,.3933771,0,7.1865945,8.7286043
1,1,7.582211,.60902685,1.4034417e-35,6.3885403,8.7758818
1,2,7.7242351,.37958133,0,6.980269,8.4682007
1,3,7.3975906,.39889807,0,6.6157646,8.1794167
1,4,8.0668974,.38919285,0,7.3040934,8.8297014
1,5,8.0197201,.38287947,0,7.2692904,8.7701502
