Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.3277128,.052336607,3.8095782e-10,.22513495,.43029067
0,2,.2508564,.057098307,.000011158526,.13894577,.36276704
0,3,.32684916,.060698431,7.2523449e-08,.20788243,.44581592
0,4,.3057248,.063778214,1.6384613e-06,.1807218,.43072781
0,5,.21828443,.066616833,.0010502202,.087717839,.34885103
1,1,.46452212,.1115585,.000031281186,.24587148,.68317276
1,2,.38678741,.069986172,3.2644753e-08,.24961704,.52395779
1,3,.32329214,.073293336,.00001029253,.17963983,.46694443
1,4,.33170211,.069946714,2.1139790e-06,.19460908,.46879515
1,5,.320604,.077604912,.000036082256,.16850115,.47270682
