effect,b,se,pvalue,ll,ul
Expunge1,-.8403801991008498,.9316799676793703,.3670540920277469,-2.666439380869857,.9856789826681575
ES2,1.027220580535648,.8310023302009318,.2164130761009539,-.6015140577270397,2.655955218798336
ES3,1.010759385406538,.9011226195078628,.2620041091835619,-.7554084944832635,2.776927265296339
ES4,.8106561793525593,.8995463589737904,.3674908550505943,-.9524222866602086,2.573734645365327
ES5,.8259439029235311,.902983099882505,.3603577154589767,-.9438704514945129,2.595758257341575
ES6,1.024960489215648,.9059785760883616,.2579163396160553,-.7507248906824215,2.800645869113718
Sequence2,-.0219924400180141,.0971666824991275,.8209391262104648,-.2124356382135422,.1684507581775141
Sequence3,.060300981485432,.1169654888352104,.6061721814435514,-.1689471640657022,.2895491270365663
Sequence4,-.0008043764891997,.1183093592455854,.9945752843108954,-.2326864596445578,.2310777066661585
Sequence5,.1571613571469192,.1280385286764998,.2196521389380849,-.0937895476925193,.4081122619863576
Sequence6,.1161018197089695,.1372277202341043,.3975236039365567,-.1528595696304134,.3850632090483524
