effect,b,se,pvalue,ll,ul
Expunge1,-1.03205070660161,.9345505260917765,.2694506985319911,-2.863736079474452,.7996346662712315
ES2,.9042609140283786,.8557151468269752,.2906342707728734,-.772909954777897,2.581431782834654
ES3,1.06177140298602,.8741973238625073,.224531202059763,-.6516238671657915,2.775166673137832
ES4,.9892655689376324,.887234356004185,.2648507781768839,-.7496818146771587,2.728212952552424
ES5,1.010614130166784,.9064878697328665,.2649070802965276,-.7660694469320701,2.787297707265639
ES6,1.180572880558351,.894246824968948,.186772648182999,-.5721186896700805,2.933264450786782
Sequence2,.3593203173408474,.0788624469677743,5.20646053068e-06,.2047527615513099,.5138878731303849
Sequence3,-.0888874237336549,.0942579992781723,.3456693422445331,-.2736297075736751,.0958548601063653
Sequence4,0,,,,
Sequence5,-.0848315838186684,.0866772442610783,.3277250111735509,-.254715860849563,.0850526932122262
Sequence6,-.2265489719132552,.0912988598999884,.0130867501251742,-.4054914491468006,-.0476064946797099
