Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.098100685,.03947923,.012959945,.02072281,.17547855
0,2,.076923192,.040748436,.059058443,-.0029422799,.15678866
0,3,.077694423,.045933194,.090747885,-.012332981,.16772182
0,4,.12637699,.04457093,.0045766518,.039019566,.2137344
0,5,.069828473,.044181835,.11399714,-.016766328,.15642329
1,1,.16841857,.088290177,.056448452,-.0046269912,.34146413
1,2,.098954104,.049964115,.047646977,.0010262397,.19688196
1,3,.086168461,.0480357,.072838381,-.0079797832,.1803167
1,4,-.0065703616,.045010697,.88394243,-.094789706,.081648983
1,5,.036011551,.047686543,.45014569,-.057452355,.12947546
