effect,b,se,pvalue,ll,ul
Expunge1,-.8438684788703975,.9315386131108297,.3649958026403467,-2.669650610776015,.98191365303522
ES2,1.027705369087975,.8309264914452754,.2161544221199691,-.6008806279449941,2.656291366120944
ES3,1.008015272127918,.9004867490900763,.2629646036355406,-.7569063246441881,2.772936868900024
ES4,.8184694795756714,.8971443957962427,.3616080882090233,-.9399012251169115,2.576840184268254
ES5,.8395578776532138,.9026493918350298,.3523172011061197,-.9296024210104274,2.608718176316855
ES6,1.016019866851811,.9061382501910387,.2621756604796104,-.7599784685367699,2.792018202240391
Sequence2,-.0182104348927589,.0966859372216202,.8506052221620978,-.2077113896586351,.1712905198731172
Sequence3,.0657507882082893,.1169633832661802,.574014859420789,-.1634932305033787,.2949948069199572
Sequence4,.0012751342443693,.1186330379692556,.9914240556104671,-.2312413475519445,.2337916160406831
Sequence5,.1586320440336781,.1279371087593195,.2150042218586085,-.0921200814207719,.4093841694881282
Sequence6,.1146290038377436,.1373866586467773,.4040819584698264,-.1546438990662382,.3839019067417254
