Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.60047913,.053220566,1.5951199e-29,.4961687,.70478952
0,2,.40886801,.057651043,1.3207431e-12,.29587406,.52186197
0,3,.32230946,.061688483,1.7435160e-07,.20140225,.44321665
0,4,.40191546,.0626899,1.4440910e-10,.27904552,.5247854
0,5,.36521202,.069493391,1.4774432e-07,.22900747,.50141656
1,1,.4103823,.10353862,.000073837997,.20745035,.61331427
1,2,.42579362,.070854776,1.8622817e-09,.28692082,.56466645
1,3,.26128677,.065767884,.000071013914,.13238409,.39018944
1,4,.14911984,.066085905,.024042184,.019593842,.27864584
1,5,.24018344,.067097463,.00034409357,.10867484,.37169206
