effect,b,se,pvalue,ll,ul
Expunge1,.1807510882561736,.2394854886542124,.4504004638532539,-.2886318443260585,.6501340208384057
Sequence3,-.0822791273047598,.0926060891573194,.3742798850885993,-.263783726802211,.0992254721926914
Sequence4,-.0640799938554343,.1116967012933263,.5661732743616607,-.2830015055822823,.1548415178714137
Sequence5,-.155527745434695,.1354008606377565,.2507017113997284,-.4209085557604246,.1098530648910347
Sequence6,-.1614618614958572,.138335647963133,.2431398460213031,-.4325947492816096,.1096710262898952
ES3,.0219217483788037,.1900824977402959,.9081855039062958,-.3506331012835924,.3944765980411998
ES4,-.0543077656275723,.199097380437515,.7850301254963016,-.4445314607013711,.3359159294462266
ES5,.13386484510725,.2263964733353699,.554329459458493,-.3098640888569576,.5775937790714576
ES6,.0683880155233885,.2170437004620742,.7526943146032031,-.3570098204535763,.4937858515003533
