Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.017053843,.0099142119,.085406825,-.0023776563,.03648534
0,2,.022602726,.012698971,.075094551,-.0022867997,.047492251
0,3,.03488623,.017926812,.051650353,-.00024967475,.070022136
0,4,.039043531,.02077019,.060137115,-.0016652916,.079752356
0,5,.031884123,.018352343,.082328498,-.0040858095,.067854054
1,1,.010154716,.0056547821,.072530337,-.00092845398,.021237886
1,2,.030363305,.014067112,.030892067,.0027922692,.057934336
1,3,.028321953,.013494961,.035842843,.0018723152,.054771591
1,4,.022491639,.012057557,.062131479,-.0011407376,.046124019
1,5,.023653233,.012397295,.056399606,-.00064501737,.047951486
