Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.06150908,.026797151,.02171256,.0089876298,.11403053
0,2,.11329543,.04108369,.0058214203,.032772873,.19381797
0,3,.13910495,.049335681,.0048089423,.042408794,.2358011
0,4,.14122693,.051214099,.0058231126,.040849138,.24160472
0,5,.15427208,.056843903,.0066484176,.042860083,.2656841
1,1,.050475728,.022231804,.023181587,.0069021899,.09404926
1,2,.099706061,.033198986,.0026708096,.034637246,.16477488
1,3,.12121061,.040377121,.0026824486,.042072915,.20034832
1,4,.14778018,.045599062,.001191696,.058407664,.23715271
1,5,.12238668,.04081418,.0027119531,.042392354,.202381
