effect,b,se,pvalue,ll,ul
Expunge1,.1326809745150298,.1290022352372264,.3037067619539275,-.1201587604750977,.3855207095051573
Sequence3,0,,,,
Sequence4,0,,,,
Sequence5,0,,,,
Sequence6,0,,,,
ES3,.0877916182681623,.0368138731695401,.0170910665850773,.0156377527244384,.1599454838118862
ES4,.0020037342889405,.0018093381148685,.2681035280484984,-.0015425032520575,.0055499718299384
ES5,.0013740749093945,.0094686067511714,.8846169033893877,-.0171840533066743,.0199322031254632
ES6,-.006728703479033,.076842858069693,.9302228493387678,-.1573379377647543,.1438805308066884
