Expungement,Sequence,b,se,pvalue,ll,ul
0,1,-.026467748,.19974951,.89458513,-.41796958,.3650341
0,2,-.0023300657,.21324629,.99128199,-.42028511,.41562495
0,3,-.17398097,.21072003,.40900272,-.58698463,.23902269
0,4,-.21909654,.22689143,.3342219,-.66379559,.22560248
0,5,-.30727261,.26932067,.25390434,-.83513141,.22058621
1,1,-.14192799,.3805784,.70920271,-.88784796,.60399199
1,2,-.35962224,.24368823,.14001174,-.83724236,.1179979
1,3,-.070459574,.26699746,.79186004,-.59376496,.45284581
1,4,-.49455678,.25199702,.049698479,-.98846185,-.00065168442
1,5,-.39214051,.2525692,.12051722,-.88716704,.10288601
