"stid","seq","house_sat","treatment","expunge","white","female","age_enroll","income","income_lag","house_num","house_size","move_attempt","unemployed","unemploy_lag","ps_employed","local_unemploy","married","dependent","year"
"KSSTID0009",3,2,1,1,1,1,31,0,0,4,3,0,1,1,0,9.1,0,1,2020
"KSSTID0009",4,3,1,1,1,1,31,8.119115727342,0,4,3,0,0,1,0,6.533333333,0,1,2020
"KSSTID0009",5,3,1,1,1,1,31,8.43950188370037,8.119115727342,5,3,1,0,0,0,5.7,0,1,2021
"KSSTID0009",6,4,1,1,1,1,31,8.80383722529235,8.43950188370037,4,3,1,0,0,0,5.066666667,0,1,2021
"KSSTID0010",1,4,1,0,1,1,40,0,0,3,2,1,1,1,1,3.7,1,1,2020
"KSSTID0010",2,4,1,0,1,1,40,0,0,4,2,0,1,1,1,9.933333333,1,1,2020
"KSSTID0010",3,4,1,0,1,1,40,0,0,3,2,0,1,1,1,6.1,0,1,2020
"KSSTID0010",4,4,1,0,1,1,40,0,0,3,2,0,1,1,1,4.366666667,1,1,2020
"KSSTID0010",5,4,1,0,1,1,40,0,0,0,1,0,1,1,1,4.066666667,0,1,2021
"KSSTID0010",6,4,1,0,1,1,40,0,0,3,2,0,1,1,1,3.533333333,0,1,2021
"KSSTID0011",1,1,0,0,1,1,29,0,0,7,4,0,1,1,1,3.883333333,0,1,2020
"KSSTID0011",2,3,0,0,1,1,29,0,0,0,1,0,1,1,1,8.3,1,1,2020
"KSSTID0011",3,2,0,0,1,1,29,0,0,6,3,0,1,1,1,5.1,1,1,2020
"KSSTID0011",4,4,0,0,1,1,29,0,0,6,3,0,1,1,1,3.7,1,1,2020
"KSSTID0011",5,2,0,0,1,1,29,0,0,6,3,1,1,1,1,3.666666667,0,1,2021
"KSSTID0011",6,2,0,0,1,1,29,0,0,6,3,0,1,1,1,3.3,0,1,2021
"KSSTID0012",1,4,0,0,0,0,39,8.64897730844343,8.18536973246441,0,1,1,0,0,1,4.266666667,1,1,2020
"KSSTID0012",2,2,0,0,0,0,39,8.68413711616587,8.64897730844343,4,4,0,0,0,1,8.483333333,1,1,2020
"KSSTID0012",3,4,0,0,0,0,39,8.64825654092638,8.68413711616587,4,3,0,0,0,1,5.45,1,1,2020
"KSSTID0012",4,4,0,0,0,0,39,8.72235198211295,8.64825654092638,4,3,1,0,0,1,3.9,1,1,2020
"KSSTID0012",5,,0,0,0,0,39,8.62245370207373,8.72235198211295,4,3,0,0,0,1,3.85,1,1,2021
"KSSTID0012",6,3,0,0,0,0,39,8.75854437320501,8.62245370207373,4,3,0,0,0,1,3.716666667,1,1,2021
"KSSTID0013",1,1,0,0,1,1,38,5.48604097263099,8.03346703753197,4,1,0,1,0,1,3.833333333,1,1,2020
"KSSTID0013",2,1,0,0,1,1,38,8.04715756165849,5.48604097263099,3,1,0,1,1,1,7.6,1,1,2020
"KSSTID0013",3,2,0,1,1,1,38,8.50205924883152,8.04715756165849,2,1,1,1,1,1,5.066666667,1,1,2020
"KSSTID0013",4,,0,1,1,1,38,0,8.50205924883152,1,3,0,1,1,1,3.766666667,1,0,2021
"KSSTID0013",5,4,0,1,1,1,38,0,0,3,3,0,1,1,1,3.233333333,1,0,2021
"KSSTID0013",6,4,0,1,1,1,38,0,0,3,3,0,1,1,1,3.2,1,0,2021
"KSSTID0014",1,3,1,0,1,0,26,8.24286034030685,8.52006306937418,2,2,0,0,0,1,2.983333333,0,0,2020
"KSSTID0014",2,3,1,1,1,0,26,9.32356323650579,8.24286034030685,4,3,0,1,0,1,6.433333333,0,0,2020
"KSSTID0014",3,3,1,1,1,0,26,5.56975713148676,9.32356323650579,3,6,0,1,1,1,4.483333333,0,0,2020
