Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.1031729,.041605286,.013145515,.021628033,.18471776
0,2,.073132843,.042294886,.083788,-.0097636096,.1560293
0,3,.026273472,.044821128,.55775118,-.061574321,.11412127
0,4,.084559791,.044166949,.055550043,-.0020058414,.17112543
0,5,.015784919,.046183608,.73251182,-.074733295,.10630313
1,1,.20080535,.091300495,.027850229,.021859679,.37975103
1,2,.031023366,.051664472,.54818785,-.070237137,.13228387
1,3,.003786227,.049702063,.93927711,-.093628027,.10120048
1,4,-.10129346,.047998406,.034828167,-.1953686,-.0072183181
1,5,-.109205,.047364127,.021130312,-.20203698,-.016373018
