Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.045179352,.020711441,.029155919,.0045856768,.085773028
0,2,.085559562,.033432201,.010491451,.020033652,.15108548
0,3,.11939203,.044139188,.0068325237,.032880813,.20590325
0,4,.10118129,.038949944,.0093843276,.024840804,.17752178
0,5,.11907042,.044845268,.0079275733,.03117531,.20696552
1,1,.037024379,.017154204,.030902427,.0034027577,.070646003
1,2,.1014837,.033684637,.0025888428,.035463024,.16750437
1,3,.083120227,.03189721,.0091639189,.020602845,.14563762
1,4,.16415913,.050539196,.00116156,.065104134,.26321414
1,5,.11224888,.038864747,.0038746211,.036075383,.18842238
