Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.017529212,.010144107,.083984777,-.0023528726,.037411299
0,2,.02330751,.012994846,.072877623,-.0021619222,.04877694
0,3,.035265949,.018308224,.054074995,-.00061751163,.071149409
0,4,.039794985,.021164926,.060076363,-.0016875056,.081277475
0,5,.032535523,.01859623,.080191448,-.0039124177,.068983465
1,1,.010446447,.0057497243,.069238491,-.00082280603,.021715699
1,2,.030145261,.014056081,.031981472,.0025958507,.057694674
1,3,.028392877,.013684114,.037997779,.0015725062,.05521325
1,4,.022107644,.01204833,.0665185,-.0015066492,.045721937
1,5,.024350839,.012824904,.057601962,-.00078551285,.049487188
