effect,b,se,pvalue,ll,ul
Expunge1,-1.240523220920177,1.385445529683341,.3705751159266049,-3.955946561641544,1.47490011980119
ES2,1.156506451832872,1.271751550506344,.3631491491390209,-1.336080784442533,3.649093688108278
ES3,.9475488568239375,1.310755324013423,.4697395267921244,-1.621484370786501,3.516582084434376
ES4,1.326649097786889,1.334792523713707,.3202719890132403,-1.289496175525303,3.942794371099081
ES5,.8417827466072669,1.34653039342868,.5318729696399327,-1.797368328601495,3.480933821816029
ES6,1.153379218630379,1.337337052972906,.3884428659497597,-1.467753240387452,3.774511677648209
Sequence2,-.1709460563977181,.1549348995268366,.2698790255454773,-.4746128794186498,.1327207666232135
Sequence3,.0168218343480918,.0299666935060755,.5745582584270033,-.0419118056595665,.07555547435575
Sequence4,.0986002786528816,.1226505174197877,.4214475360179731,-.1417903181751047,.3389908754808679
Sequence5,-.4674095915864456,.1376774787529075,.0006863852169965,-.737252491424423,-.1975666917484684
Sequence6,0,,,,
