Expungement,Sequence,b,se,pvalue,ll,ul
0,1,-.16642554,.19825055,.40120518,-.55498946,.22213838
0,2,-.074285656,.21078828,.72452456,-.48742309,.33885178
0,3,-.22938293,.21394613,.28365144,-.64870965,.18994379
0,4,-.34953645,.2319693,.13185628,-.80418795,.10511502
0,5,-.32796901,.27624249,.23512883,-.86939436,.21345629
1,1,-.053376883,.37409654,.88654125,-.78659266,.6798389
1,2,-.34386387,.24643312,.16290614,-.82686388,.13913618
1,3,-.19246845,.2587038,.45689327,-.69951856,.31458166
1,4,-.58239543,.2513237,.020486739,-1.0749809,-.089810044
1,5,-.59989995,.25067925,.016706793,-1.0912222,-.10857763
